name,sites,lnL,parameters,subsets,aic,aicc,bic
step_252,249438,-1086413.93,2698,262,2178223.86,2178282.89,2206355.82
step_253,249438,-1086420.64,2688,261,2178217.29,2178275.88,2206244.97
step_254,249438,-1086427.41,2678,260,2178210.81,2178268.96,2206134.23
step_255,249438,-1086434.19,2668,259,2178204.39,2178262.10,2206023.53
step_256,249438,-1086440.98,2658,258,2178197.96,2178255.24,2205912.83
step_257,249438,-1086447.80,2648,257,2178191.60,2178248.44,2205802.20
step_258,249438,-1086454.67,2638,256,2178185.34,2178241.76,2205691.68
step_259,249438,-1086461.62,2628,255,2178179.25,2178235.23,2205581.31
step_260,249438,-1086468.59,2618,254,2178173.18,2178228.74,2205470.98
step_261,249438,-1086475.62,2608,253,2178167.25,2178222.38,2205360.77
step_262,249438,-1086482.66,2598,252,2178161.32,2178216.03,2205250.57
step_263,249438,-1086489.78,2588,251,2178155.55,2178209.84,2205140.54
step_264,249438,-1086496.91,2578,250,2178149.83,2178203.69,2205030.55
step_265,249438,-1086504.06,2568,249,2178144.13,2178197.57,2204920.58
step_266,249438,-1086511.25,2558,248,2178138.51,2178191.54,2204810.69
step_267,249438,-1086518.47,2548,247,2178132.93,2178185.55,2204700.84
step_268,249438,-1086525.69,2538,246,2178127.38,2178179.58,2204591.02
step_269,249438,-1086532.94,2528,245,2178121.88,2178173.67,2204481.25
step_270,249438,-1086540.21,2518,244,2178116.42,2178167.79,2204371.52
step_271,249438,-1086547.51,2508,243,2178111.01,2178161.98,2204261.84
step_272,249438,-1086554.82,2498,242,2178105.64,2178156.20,2204152.20
step_273,249438,-1086562.18,2488,241,2178100.36,2178150.51,2204042.65
step_274,249438,-1086569.58,2478,240,2178095.15,2178144.90,2203933.17
step_275,249438,-1086576.98,2468,239,2178089.95,2178139.30,2203823.70
step_276,249438,-1086584.42,2458,238,2178084.85,2178133.79,2203714.33
step_277,249438,-1086591.91,2448,237,2178079.81,2178128.36,2203605.03
step_278,249438,-1086599.39,2438,236,2178074.79,2178122.94,2203495.73
step_279,249438,-1086606.95,2428,235,2178069.90,2178117.65,2203386.57
step_280,249438,-1086614.50,2418,234,2178065.01,2178112.37,2203277.41
step_281,249438,-1086622.06,2408,233,2178060.12,2178107.09,2203168.26
step_282,249438,-1086629.63,2398,232,2178055.27,2178101.84,2203059.13
step_283,249438,-1086637.26,2388,231,2178050.53,2178096.71,2202950.12
step_284,249438,-1086644.93,2378,230,2178045.86,2178091.66,2202841.18
step_285,249438,-1086652.63,2368,229,2178041.27,2178086.68,2202732.32
step_286,249438,-1086660.47,2358,228,2178036.94,2178081.97,2202623.73
step_287,249438,-1086668.38,2348,227,2178032.75,2178077.40,2202515.27
step_288,249438,-1086676.31,2338,226,2178028.62,2178072.88,2202406.86
step_289,249438,-1086681.73,2328,225,2178019.47,2178063.35,2202293.45
step_290,249438,-1086689.68,2318,224,2178015.35,2178058.86,2202185.06
step_291,249438,-1086697.63,2308,223,2178011.25,2178054.38,2202076.69
step_292,249438,-1086705.71,2298,222,2178007.42,2178050.18,2201968.59
step_293,249438,-1086713.98,2288,221,2178003.96,2178046.35,2201860.86
step_294,249438,-1086722.26,2278,220,2178000.52,2178042.53,2201753.15
step_295,249438,-1086730.59,2268,219,2177997.17,2178038.81,2201645.53
step_296,249438,-1086738.91,2258,218,2177993.83,2178035.10,2201537.91
step_297,249438,-1086747.33,2248,217,2177990.65,2178031.56,2201430.47
step_298,249438,-1086755.85,2238,216,2177987.69,2178028.24,2201323.24
step_299,249438,-1086764.37,2228,215,2177984.75,2178024.93,2201216.03
step_300,249438,-1086772.93,2218,214,2177981.85,2178021.67,2201108.86
step_301,249438,-1086781.53,2208,213,2177979.05,2178018.51,2201001.79
step_302,249438,-1086790.14,2198,212,2177976.29,2178015.39,2200894.76
step_303,249438,-1086798.78,2188,211,2177973.56,2178012.30,2200787.76
step_304,249438,-1086806.18,2178,210,2177968.35,2178006.74,2200678.29
step_305,249438,-1086814.84,2168,209,2177965.68,2178003.72,2200571.34
step_306,249438,-1086823.68,2158,208,2177963.36,2178001.04,2200464.75
step_307,249438,-1086832.57,2148,207,2177961.13,2177998.47,2200358.25
step_308,249438,-1086841.50,2138,206,2177959.00,2177995.98,2200251.85
step_309,249438,-1086850.44,2128,205,2177956.87,2177993.51,2200145.45
step_310,249438,-1086859.42,2118,204,2177954.84,2177991.13,2200039.15
step_311,249438,-1086868.54,2108,203,2177953.09,2177989.04,2199933.13
step_312,249438,-1086877.74,2098,202,2177951.47,2177987.08,2199827.25
step_313,249438,-1086886.94,2088,201,2177949.88,2177985.15,2199721.38
step_314,249438,-1086896.18,2078,200,2177948.36,2177983.29,2199615.59
step_315,249438,-1086905.45,2068,199,2177946.89,2177981.49,2199509.86
step_316,249438,-1086914.72,2058,198,2177945.44,2177979.70,2199404.13
step_317,249438,-1086924.00,2048,197,2177943.99,2177977.92,2199298.42
step_318,249438,-1086933.37,2038,196,2177942.74,2177976.33,2199192.90
step_319,249438,-1086942.76,2028,195,2177941.52,2177974.78,2199087.40
step_320,249438,-1086952.29,2018,194,2177940.59,2177973.52,2198982.21
step_321,249438,-1086962.02,2008,193,2177940.04,2177972.65,2198877.39
step_322,249438,-1086971.84,1998,192,2177939.69,2177971.97,2198772.77
step_323,249438,-1086981.78,1988,191,2177939.56,2177971.52,2198668.37
