name,sites,lnL,parameters,subsets,aic,aicc,bic
step_145,135334,-584386.89,1428,135,1171629.78,1171660.26,1185646.31
step_146,135334,-584395.70,1418,134,1171627.40,1171657.45,1185545.78
step_147,135334,-584404.52,1408,133,1171625.03,1171654.66,1185445.26
step_148,135334,-584413.35,1398,132,1171622.69,1171651.90,1185344.76
step_149,135334,-584422.22,1388,131,1171620.44,1171649.23,1185244.35
step_150,135334,-584431.20,1378,130,1171618.40,1171646.78,1185144.17
step_151,135334,-584440.35,1368,129,1171616.70,1171644.66,1185044.31
step_152,135334,-584449.50,1358,128,1171615.01,1171642.56,1184944.46
step_153,135334,-584458.74,1348,127,1171613.48,1171640.62,1184844.77
step_154,135334,-584467.98,1338,126,1171611.97,1171638.71,1184745.11
step_155,135334,-584477.27,1328,125,1171610.54,1171636.89,1184645.53
step_156,135334,-584486.61,1318,124,1171609.22,1171635.16,1184546.05
step_157,135334,-584496.19,1308,123,1171608.38,1171633.93,1184447.06
step_158,135334,-584505.87,1298,122,1171607.73,1171632.89,1184348.25
