ChaAce	AkaNud	LepNud	0.022082	0.373092	0.0104167	155.0	162.0	458.0
ChaAce	AkaNud	LepSqu	0.0301003	0.338301	0.0130246	145.0	154.0	431.0
ChaAce	AkaNud	NotRos	0.0192308	0.389697	0.00704225	153.0	159.0	411.0
ChaAce	PagMac	AkaNud	0.0656934	0.296528	0.0154639	64.0	73.0	393.0
ChaAce	AkaNud	PatGun	0.013245	0.428282	0.00562588	149.0	153.0	465.0
AkaNud	ChaAce	PleAnt	0	0.5	0	146.0	146.0	555.0
ChaAce	PseGeo	AkaNud	0.0359712	0.353194	0.00856164	67.0	72.0	394.0
ChaAce	AkaNud	TreBer	0.0387097	0.293754	0.0185759	149.0	161.0	420.0
ChaAce	AkaNud	TreHan	0.0816327	0.0926109	0.0361991	135.0	159.0	423.0
ChaAce	AkaNud	TreLoe	0.015873	0.410995	0.00825083	155.0	160.0	435.0
ChaAce	AkaNud	TreSco	0.012987	0.427717	0.00552486	152.0	156.0	448.0
AkaNud	VomInf	ChaAce	0.285714	0.00207934	0.0727273	65.0	117.0	270.0
ChiDew	ChaWil	AkaNud	0	0.5	0	51.0	51.0	450.0
CryAnt	ChaWil	AkaNud	0.0280374	0.385341	0.00504202	52.0	55.0	464.0
ChaWil	AkaNud	DisMaw	0.0355987	0.30407	0.0170807	149.0	160.0	462.0
AkaNud	DolLon	ChaWil	0.042623	0.254453	0.0216667	146.0	159.0	166.0
ChaWil	AkaNud	GobGib	0.0129032	0.425683	0.00505689	153.0	157.0	427.0
AkaNud	GymAcu	ChaWil	0.136691	0.0163214	0.0636516	120.0	158.0	167.0
ChaWil	AkaNud	HarAnt	0.03125	0.319434	0.0160256	155.0	165.0	179.0
ChaWil	AkaNud	HarKer	0.0264901	0.342296	0.0137221	147.0	155.0	181.0
AkaNud	HisVel	ChaWil	0.0769231	0.103431	0.0381426	138.0	161.0	169.0
AkaNud	ChaWil	LepLar	0.0375427	0.255081	0.0152566	141.0	152.0	482.0
ChaWil	AkaNud	LepNud	0.00970874	0.442624	0.00437318	153.0	156.0	478.0
ChaWil	AkaNud	LepSqu	0.0101695	0.44182	0.00425532	146.0	149.0	454.0
AkaNud	ChaWil	NotRos	0.00653595	0.46196	0.00229358	152.0	154.0	421.0
PagMac	ChaWil	AkaNud	0.031746	0.376683	0.00675676	61.0	65.0	406.0
ChaWil	AkaNud	PatGun	0.00996678	0.444052	0.00409836	149.0	152.0	477.0
AkaNud	ChaWil	PleAnt	0	0.5	0	145.0	145.0	575.0
PseGeo	ChaWil	AkaNud	0.0656934	0.231147	0.015	64.0	73.0	408.0
ChaWil	AkaNud	TreBer	0.0231023	0.370113	0.0105105	148.0	155.0	443.0
ChaWil	AkaNud	TreHan	0.0736842	0.125494	0.0304348	132.0	153.0	446.0
ChaWil	AkaNud	TreLoe	0.012987	0.42688	0.0064	152.0	156.0	456.0
AkaNud	ChaWil	TreSco	0.02	0.382331	0.00936037	147.0	153.0	440.0
AkaNud	VomInf	ChaWil	0.271739	0.00245144	0.0837521	67.0	117.0	271.0
CryAnt	ChiDew	AkaNud	0.0625	0.328404	0.00686106	30.0	34.0	502.0
ChiDew	AkaNud	DisMaw	0.00990099	0.449159	0.00482315	150.0	153.0	443.0
ChiDew	DolLon	AkaNud	0.0769231	0.111872	0.0400697	138.0	161.0	168.0
AkaNud	ChiDew	GobGib	0	0.5	0	152.0	152.0	406.0
ChiDew	GymAcu	AkaNud	0.177778	0.00103658	0.084063	111.0	159.0	169.0
AkaNud	ChiDew	HarAnt	0.0125786	0.42767	0.00675676	157.0	161.0	169.0
ChiDew	AkaNud	HarKer	0.0100334	0.444619	0.00535714	148.0	151.0	173.0
AkaNud	HisVel	ChiDew	0.0927835	0.0472987	0.0462329	132.0	159.0	165.0
AkaNud	ChiDew	LepLar	0.0383275	0.291909	0.0161765	138.0	149.0	462.0
AkaNud	ChiDew	LepNud	0.00662252	0.463776	0.00305344	150.0	152.0	458.0
ChiDew	AkaNud	LepSqu	0.00350877	0.482356	0.00147059	142.0	143.0	439.0
AkaNud	ChiDew	NotRos	0.0234114	0.371079	0.00823529	146.0	153.0	406.0
PagMac	ChiDew	AkaNud	0.0243902	0.388769	0.00517241	60.0	63.0	404.0
AkaNud	ChiDew	PatGun	0.00341297	0.482736	0.00141844	146.0	147.0	461.0
AkaNud	ChiDew	PleAnt	0.062069	0.198234	0.017192	136.0	154.0	556.0
PseGeo	ChiDew	AkaNud	0.0578512	0.254388	0.0119863	57.0	64.0	402.0
ChiDew	AkaNud	TreBer	0.0135135	0.428549	0.00625	146.0	150.0	421.0
ChiDew	AkaNud	TreHan	0.0211268	0.391851	0.0091047	139.0	145.0	427.0
AkaNud	ChiDew	TreLoe	0.00332226	0.482773	0.00165563	150.0	151.0	433.0
AkaNud	ChiDew	TreSco	0.0202703	0.388904	0.00961538	145.0	151.0	427.0
AkaNud	VomInf	ChiDew	0.300546	0.000591664	0.0951557	64.0	119.0	265.0
CryAnt	AkaNud	DisMaw	0.0289389	0.343389	0.0140845	151.0	160.0	461.0
CryAnt	DolLon	AkaNud	0.0714286	0.152802	0.0376068	143.0	165.0	167.0
CryAnt	AkaNud	GobGib	0.00970874	0.448653	0.00380711	153.0	156.0	425.0
CryAnt	GymAcu	AkaNud	0.16726	0.00275745	0.0806175	117.0	164.0	168.0
CryAnt	AkaNud	HarAnt	0.00617284	0.463598	0.00325733	161.0	163.0	176.0
CryAnt	AkaNud	HarKer	0.02	0.377408	0.0103627	147.0	153.0	179.0
AkaNud	HisVel	CryAnt	0.0810811	0.0887776	0.0425532	136.0	160.0	170.0
AkaNud	CryAnt	LepLar	0.0479452	0.231981	0.0194986	139.0	153.0	479.0
CryAnt	AkaNud	LepNud	0.0127389	0.425322	0.00585652	155.0	159.0	476.0
CryAnt	AkaNud	LepSqu	0.003367	0.479777	0.00142857	148.0	149.0	453.0
AkaNud	CryAnt	NotRos	0.00977199	0.440721	0.00344037	152.0	155.0	421.0
PagMac	CryAnt	AkaNud	0	0.5	0	66.0	66.0	408.0
AkaNud	CryAnt	PatGun	0.00330033	0.481073	0.00137741	151.0	152.0	479.0
AkaNud	CryAnt	PleAnt	0.033557	0.322112	0.00942507	144.0	154.0	572.0
PseGeo	CryAnt	AkaNud	0.0542636	0.227255	0.011745	61.0	68.0	409.0
CryAnt	AkaNud	TreBer	0.0263158	0.350739	0.0120846	148.0	156.0	440.0
CryAnt	AkaNud	TreHan	0.0340136	0.326458	0.0148368	142.0	152.0	442.0
CryAnt	AkaNud	TreLoe	0.0096463	0.444194	0.00482315	154.0	157.0	455.0
AkaNud	CryAnt	TreSco	0.00330033	0.48076	0.00156986	151.0	152.0	437.0
AkaNud	VomInf	CryAnt	0.268817	0.00234661	0.0892857	68.0	118.0	271.0
AkaNud	DolLon	DisMaw	0.115242	0.0706045	0.0494418	119.0	150.0	437.0
GobGib	AkaNud	DisMaw	0.00668151	0.451712	0.00481541	223.0	226.0	247.0
AkaNud	GymAcu	DisMaw	0.113636	0.0705973	0.0481541	117.0	147.0	462.0
